ING,,PKO,,BHW,,MBK,,PKN,,ODL,,KGH,,STP,,KTY,,ZAP,,PPS,,HDR,,AGO,,AMC,,CRM,,LSI,,OPL,,STX,,CAR,,PLOPLN1M,,WIG20,
Data,Zamkniecie,Data,Zamkniecie,Data,Zamkniecie,Data,Zamkniecie,Data,Zamkniecie,Data,Zamkniecie,Data,Zamkniecie,Data,Zamkniecie,Data,Zamkniecie,Data,Zamkniecie,Data,Zamkniecie,Data,Zamkniecie,Data,Zamkniecie,Data,Zamkniecie,Data,Zamkniecie,Data,Zamkniecie,Data,Zamkniecie,Data,Zamkniecie,Data,Zamkniecie,Data,Zamkniecie,Data,Zamkniecie
4/1/10,57.76,4/1/10,78.39,4/1/10,31.15,4/1/10,222.39,4/1/10,23.32,4/1/10,0.76,4/1/10,62.03,4/1/10,481.64,4/1/10,52.03,4/1/10,43.24,4/1/10,0.35,4/1/10,16.39,4/1/10,16.55,4/1/10,15.45,4/1/10,3.39,4/1/10,3.58,4/1/10,8.89,4/1/10,0.94,4/1/10,78.54,4/1/10,3.71,4/1/10,2444.58
5/1/10,58.95,5/1/10,79.63,5/1/10,31.61,5/1/10,227.79,5/1/10,24.17,5/1/10,0.8,5/1/10,60.82,5/1/10,477.95,5/1/10,51.82,5/1/10,43.92,5/1/10,0.35,5/1/10,16.39,5/1/10,16.72,5/1/10,16.59,5/1/10,3.29,5/1/10,3.85,5/1/10,9.11,5/1/10,0.91,5/1/10,78.88,5/1/10,3.68,5/1/10,2462.3
6/1/10,58.17,6/1/10,79.5,6/1/10,32.87,6/1/10,229.43,6/1/10,24.24,6/1/10,0.8,6/1/10,62.31,6/1/10,473.47,6/1/10,51.95,6/1/10,44.76,6/1/10,0.35,6/1/10,16.65,6/1/10,16.38,6/1/10,16.54,6/1/10,3.31,6/1/10,3.93,6/1/10,9.21,6/1/10,0.93,6/1/10,81.02,6/1/10,3.66,6/1/10,2472.83
7/1/10,58.21,7/1/10,79.13,7/1/10,32.83,7/1/10,224.68,7/1/10,24.2,7/1/10,0.74,7/1/10,59.51,7/1/10,464.49,7/1/10,52.63,7/1/10,45,7/1/10,0.35,7/1/10,16.34,7/1/10,16.02,7/1/10,16.58,7/1/10,3.25,7/1/10,3.77,7/1/10,9.09,7/1/10,0.91,7/1/10,79.56,7/1/10,3.66,7/1/10,2436.4
8/1/10,57.76,8/1/10,79.96,8/1/10,33.18,8/1/10,223.86,8/1/10,23.88,8/1/10,0.69,8/1/10,59.74,8/1/10,463.67,8/1/10,53.27,8/1/10,46.15,8/1/10,0.37,8/1/10,16.64,8/1/10,15.72,8/1/10,16.08,8/1/10,3.24,8/1/10,3.96,8/1/10,9.21,8/1/10,0.91,8/1/10,79.03,8/1/10,3.66,8/1/10,2440.42
11/1/10,58.58,11/1/10,81.41,11/1/10,33.46,11/1/10,228.61,11/1/10,24.2,11/1/10,0.73,11/1/10,61.28,11/1/10,460.8,11/1/10,52.93,11/1/10,47.99,11/1/10,0.36,11/1/10,16.62,11/1/10,15.58,11/1/10,16.58,11/1/10,3.27,11/1/10,3.85,11/1/10,9.21,11/1/10,0.91,11/1/10,78.1,11/1/10,3.67,11/1/10,2473.5
12/1/10,57.65,12/1/10,81.16,12/1/10,33.09,12/1/10,226.23,12/1/10,23.7,12/1/10,0.73,12/1/10,61,12/1/10,453.08,12/1/10,52.25,12/1/10,48.15,12/1/10,0.36,12/1/10,16.39,12/1/10,15.8,12/1/10,17.39,12/1/10,3.22,12/1/10,3.81,12/1/10,9.18,12/1/10,0.9,12/1/10,75.68,12/1/10,3.66,12/1/10,2448.71
13/1/10,56.27,13/1/10,81.87,13/1/10,33,13/1/10,231.07,13/1/10,23.57,13/1/10,0.72,13/1/10,60.65,13/1/10,444.9,13/1/10,52.25,13/1/10,48.15,13/1/10,0.35,13/1/10,16.39,13/1/10,15.8,13/1/10,18.02,13/1/10,3.02,13/1/10,3.75,13/1/10,9.36,13/1/10,0.9,13/1/10,79.56,13/1/10,3.64,13/1/10,2458.05
14/1/10,55.22,14/1/10,81.64,14/1/10,32.68,14/1/10,231.07,14/1/10,23.5,14/1/10,0.71,14/1/10,60.65,14/1/10,440.81,14/1/10,53.01,14/1/10,48.04,14/1/10,0.35,14/1/10,16.62,14/1/10,16.02,14/1/10,18.06,14/1/10,2.87,14/1/10,3.77,14/1/10,9.1,14/1/10,0.91,14/1/10,79.07,14/1/10,3.64,14/1/10,2451.98
15/1/10,55.56,15/1/10,81.41,15/1/10,32.02,15/1/10,231.07,15/1/10,23.12,15/1/10,0.71,15/1/10,61,15/1/10,424.48,15/1/10,52.84,15/1/10,48.26,15/1/10,0.37,15/1/10,16.39,15/1/10,16.44,15/1/10,18.6,15/1/10,2.91,15/1/10,3.81,15/1/10,9.01,15/1/10,0.91,15/1/10,76.65,15/1/10,3.63,15/1/10,2442.38
